I2S Rankings

Tech Score Ranking:
                                          filename  tech_score_mean  Tech_Rank
natural_language_processing_engineer_interview.txt         0.036818          1
            computer_vision_engineer_interview.txt         0.035764          2
                     cto_of_a_fintec_interview.txt         0.035485          3
                 electrical_engineer_interview.txt         0.032880          4
                       data_engineer_interview.txt         0.031859          5
               ai_software_developer_interview.txt         0.030964          6
                       meteorologist_interview.txt         0.029864          7
              manufacturing_engineer_interview.txt         0.029190          8
                  materials_engineer_interview.txt         0.028668          9
   software_quality_assurance_tester_interview.txt         0.028479         10
                supply_chain_manager_interview.txt         0.028346         11
                           geologist_interview.txt         0.028177         12
                full_stack_developer_interview.txt         0.027880         13
                           architect_interview.txt         0.027777         14
                     cloud_architect_interview.txt         0.027748         15
                system_administrator_interview.txt         0.027191         16
              environmental_engineer_interview.txt         0.026971         17
                 biomedical_engineer_interview.txt         0.026201         18
                           physicist_interview.txt         0.026178         19
                     mining_engineer_interview.txt         0.026110         20
                   backend_developer_interview.txt         0.025943         21
               geotechnical_engineer_interview.txt         0.025707         22
                   financial_analyst_interview.txt         0.025683         23
              database_administrator_interview.txt         0.025597         24
                          astronomer_interview.txt         0.025539         25
                   warehouse_manager_interview.txt         0.025356         26
                     devops_engineer_interview.txt         0.025349         27
                      microbiologist_interview.txt         0.025175         28
           machine_learning_engineer_interview.txt         0.025166         29
            fire_protection_engineer_interview.txt         0.025053         30
                           biologist_interview.txt         0.024868         31
                  aerospace_engineer_interview.txt         0.024864         32
                 mechanical_engineer_interview.txt         0.024529         33
             environmental_scientist_interview.txt         0.024289         34
                    nuclear_engineer_interview.txt         0.023953         35
                  petroleum_engineer_interview.txt         0.023902         36
            quality_control_engineer_interview.txt         0.023854         37
                construction_manager_interview.txt         0.023583         38
            water_resources_engineer_interview.txt         0.023430         39
                     safety_engineer_interview.txt         0.023261         40
                          it_manager_interview.txt         0.023143         41
               logistics_coordinator_interview.txt         0.023103         42
                      data_scientist_interview.txt         0.022990         43
             transportation_engineer_interview.txt         0.022873         44
                   chemical_engineer_interview.txt         0.022845         45
                 industrial_engineer_interview.txt         0.022831         46
       business_intelligence_analyst_interview.txt         0.022818         47
                   robotics_engineer_interview.txt         0.022802         48
                      civil_engineer_interview.txt         0.022504         49
                        ai_professor_interview.txt         0.022363         50
               agricultural_engineer_interview.txt         0.022155         51
                  frontend_developer_interview.txt         0.021626         52
                             chemist_interview.txt         0.021589         53
                 structural_engineer_interview.txt         0.021224         54
                    business_analyst_interview.txt         0.020748         55
                     marine_engineer_interview.txt         0.019985         56
                     product_manager_interview.txt         0.019827         57
            cybersecurity_specialist_interview.txt         0.019750         58
               network_administrator_interview.txt         0.019591         59
                      retail_manager_interview.txt         0.019055         60
                   marketing_manager_interview.txt         0.018991         61
                mobile_app_developer_interview.txt         0.018958         62
              procurement_specialist_interview.txt         0.018831         63
                      shop_assistant_interview.txt         0.018816         64
               professor_of_classics_interview.txt         0.018757         65
                  restaurant_manager_interview.txt         0.018382         66
                      game_developer_interview.txt         0.018362         67
                                chef_interview.txt         0.018341         68
                      content_writer_interview.txt         0.018163         69
             human_resources_manager_interview.txt         0.018098         70
                       sales_manager_interview.txt         0.018014         71
                     project_manager_interview.txt         0.017573         72
