I2S Rankings

Tech Score Ranking:
                                               filename  tech_score_mean  Tech_Rank
            computer_vision_engineerFG1-5_interview.txt         0.095970          1
                          devops_engineer_interview.txt         0.094312          2
                 computer_vision_engineer_interview.txt         0.092594          3
                     devops_engineerFG1-5_interview.txt         0.089831          4
natural_language_processing_engineerFG1-5_interview.txt         0.085504          5
     natural_language_processing_engineer_interview.txt         0.083207          6
                 fire_protection_engineer_interview.txt         0.082703          7
                 water_resources_engineer_interview.txt         0.080314          8
                         nuclear_engineer_interview.txt         0.077746          9
                              ai_ethicist_interview.txt         0.076850         10
                        backend_developer_interview.txt         0.074976         11
                   environmental_engineer_interview.txt         0.073492         12
                           neuroscientist_interview.txt         0.073311         13
               ai_software_developerFG1-5_interview.txt         0.073309         14
                               astronomer_interview.txt         0.072729         15
                   robotics_engineerFG1-5_interview.txt         0.072693         16
                                geologist_interview.txt         0.072553         17
                    geotechnical_engineer_interview.txt         0.072246         18
                        robotics_engineer_interview.txt         0.071850         19
                    ai_software_developer_interview.txt         0.071365         20
                           data_scientist_interview.txt         0.070660         21
                                architect_interview.txt         0.070527         22
                                biologist_interview.txt         0.070108         23
                  transportation_engineer_interview.txt         0.069748         24
                      electrical_engineer_interview.txt         0.069620         25
                       aerospace_engineer_interview.txt         0.069118         26
                          marine_engineer_interview.txt         0.069018         27
                   manufacturing_engineer_interview.txt         0.068524         28
                            data_engineer_interview.txt         0.068357         29
                           civil_engineer_interview.txt         0.068305         30
                      mechanical_engineer_interview.txt         0.068059         31
                          cloud_architect_interview.txt         0.067785         32
                      structural_engineer_interview.txt         0.067506         33
                        financial_analyst_interview.txt         0.066472         34
                      industrial_engineer_interview.txt         0.066141         35
                                physicist_interview.txt         0.065946         36
                      biomedical_engineer_interview.txt         0.065858         37
                           game_developer_interview.txt         0.065459         38
                 cybersecurity_specialist_interview.txt         0.065172         39
                     full_stack_developer_interview.txt         0.065112         40
                               geneticist_interview.txt         0.064992         41
                          product_manager_interview.txt         0.064946         42
                machine_learning_engineer_interview.txt         0.064876         43
                        chemical_engineer_interview.txt         0.064796         44
                           microbiologist_interview.txt         0.064265         45
                                  chemist_interview.txt         0.064139         46
                          no_personaFG1-5_interview.txt         0.063886         47
                             ai_professor_interview.txt         0.063882         48
