job,role,background,gender,age,hobbies,style,education_level,years_of_coding_experience
Journalist specialised on Technology,moderator, NA, NA,NA,NA,NA,NA,NA
Nurse Practitioner, participant, NA, NA,NA,NA,NA,NA,NA
Financial Manager, participant, NA, NA,NA,NA,NA,NA,NA
Software Developer, participant, NA, NA,NA,NA,NA,NA,NA
IT Manager, participant, NA, NA,NA,NA,NA,NA,NA
Physician Assistant, participant, NA, NA,NA,NA,NA,NA,NA
Medical and Health Services Manager, participant, NA, NA,NA,NA,NA,NA,NA
Information Security Analyst, participant, NA, NA,NA,NA,NA,NA,NA
Data Analyst, participant, NA, NA,NA,NA,NA,NA,NA
Actuary, participant, NA, NA,NA,NA,NA,NA,NA
Speech-Language Pathologist, participant, NA, NA,NA,NA,NA,NA,NA
Marketing Manager, participant, NA, NA,NA,NA,NA,NA,NA
Statistician, participant, NA, NA,NA,NA,NA,NA,NA
Management Analyst, participant, NA, NA,NA,NA,NA,NA,NA
Genetic Counselor, participant, NA, NA,NA,NA,NA,NA,NA
Operations Research Analyst, participant, NA, NA,NA,NA,NA,NA,NA
Orthotist and Prosthetist, participant, NA, NA,NA,NA,NA,NA,NA
Lawyer, participant, NA, NA,NA,NA,NA,NA,NA
Orthotist and Prosthetis, participant, NA, NA,NA,NA,NA,NA,NA
Occupational Therapist, participant, NA, NA,NA,NA,NA,NA,NA
Veterinarian, participant, NA, NA,NA,NA,NA,NA,NA
Web Developer, participant, NA, NA,NA,NA,NA,NA,NA
Industrial Psychologist, participant, NA, NA,NA,NA,NA,NA,NA
Sales Manager, participant, NA, NA,NA,NA,NA,NA,NA
Dental Hygienist, participant, NA, NA,NA,NA,NA,NA,NA
Nurse Anesthetist, participant, NA, NA,NA,NA,NA,NA,NA
Medical Equipment Repairer, participant, NA, NA,NA,NA,NA,NA,NA
Market Research Analyst, participant, NA, NA,NA,NA,NA,NA,NA
Forensic Science Technician, participant, NA, NA,NA,NA,NA,NA,NA
Political Scientist, participant, NA, NA,NA,NA,NA,NA,NA
Physical Therapist, participant, NA, NA,NA,NA,NA,NA,NA
Substance Abuse and Behavioral Disorder Counselor, participant, NA, NA,NA,NA,NA,NA,NA
Hearing Aid Specialist, participant, NA, NA,NA,NA,NA,NA,NA
Oral and Maxillofacial Surgeon, participant, NA, NA,NA,NA,NA,NA,NA
Environmental Engineer, participant, NA, NA,NA,NA,NA,NA,NA
Business Operations Manager, participant, NA, NA,NA,NA,NA,NA,NA
Social and Community Service Manager, participant, NA, NA,NA,NA,NA,NA,NA
Psychiatrist, participant, NA, NA,NA,NA,NA,NA,NA
Veterinary Technologist and Technician, participant, NA, NA,NA,NA,NA,NA,NA
Financial Advisor, participant, NA, NA,NA,NA,NA,NA,NA
Community and Health Worker, participant, NA, NA,NA,NA,NA,NA,NA
Electrician, participant, NA, NA,NA,NA,NA,NA,NA
Logistician, participant, NA, NA,NA,NA,NA,NA,NA
Diagnostic Medical Sonographer, participant, NA, NA,NA,NA,NA,NA,NA
Occupational Therapy Assistant, participant, NA, NA,NA,NA,NA,NA,NA
Art Director, participant, NA, NA,NA,NA,NA,NA,NA
Physical Therapist Assistant, participant, NA, NA,NA,NA,NA,NA,NA
Wind Turbine Technician, participant, NA, NA,NA,NA,NA,NA,NA
Flight Attendant, participant, NA, NA,NA,NA,NA,NA,NA
Sports Coach, participant, NA, NA,NA,NA,NA,NA,NA
Registered Nurse, participant, NA, NA,NA,NA,NA,NA,NA
Optometrist, participant, NA, NA,NA,NA,NA,NA,NA
Construction Manager, participant, NA, NA,NA,NA,NA,NA,NA
Respiratory Therapist, participant, NA, NA,NA,NA,NA,NA,NA
Massage Therapist, participant, NA, NA,NA,NA,NA,NA,NA
Medical Scientist, participant, NA, NA,NA,NA,NA,NA,NA
Anesthesiologist, participant, NA, NA,NA,NA,NA,NA,NA
Pharmacy Technician, participant, NA, NA,NA,NA,NA,NA,NA
Marriage and Family Therapist, participant, NA, NA,NA,NA,NA,NA,NA
Obstetrician and Gynecologist, participant, NA, NA,NA,NA,NA,NA,NA
Biomedical Engineer, participant, NA, NA,NA,NA,NA,NA,NA
Computer Systems Analyst, participant, NA, NA,NA,NA,NA,NA,NA
Maintenance and Repair Worker, participant, NA, NA,NA,NA,NA,NA,NA
Pharmacist, participant, NA, NA,NA,NA,NA,NA,NA
Dietitian and Nutritionist, participant, NA, NA,NA,NA,NA,NA,NA
Choreographer, participant, NA, NA,NA,NA,NA,NA,NA
Licensed Practical and Licensed Vocational Nurse, participant, NA, NA,NA,NA,NA,NA,NA
Accountant, participant, NA, NA,NA,NA,NA,NA,NA
Solar Photovoltaic Installer, participant, NA, NA,NA,NA,NA,NA,NA
Biochemist, participant, NA, NA,NA,NA,NA,NA,NA
Dentist, participant, NA, NA,NA,NA,NA,NA,NA
Medical Records Technician, participant, NA, NA,NA,NA,NA,NA,NA
Orthodontist, participant, NA, NA,NA,NA,NA,NA,NA
Podiatrist, participant, NA, NA,NA,NA,NA,NA,NA
Paralegal, participant, NA, NA,NA,NA,NA,NA,NA
Ophthalmic Medical Technician, participant, NA, NA,NA,NA,NA,NA,NA
Audiologist, participant, NA, NA,NA,NA,NA,NA,NA
Computer Network Architect, participant, NA, NA,NA,NA,NA,NA,NA
Plumber, participant, NA, NA,NA,NA,NA,NA,NA
Midwife, participant, NA, NA,NA,NA,NA,NA,NA
Psychologist, participant, NA, NA,NA,NA,NA,NA,NA
Technical Writer, participant, NA, NA,NA,NA,NA,NA,NA
Delivery Truck Driver, participant, NA, NA,NA,NA,NA,NA,NA
Pediatrician, participant, NA, NA,NA,NA,NA,NA,NA
Civil Engineer, participant, NA, NA,NA,NA,NA,NA,NA
Health Educator, participant, NA, NA,NA,NA,NA,NA,NA
Clinical Social Worker, participant, NA, NA,NA,NA,NA,NA,NA
Optician, participant, NA, NA,NA,NA,NA,NA,NA
Auto Mechanic, participant, NA, NA,NA,NA,NA,NA,NA
Construction Worker, participant, NA, NA,NA,NA,NA,NA,NA
Taxi Driver, participant, NA, NA,NA,NA,NA,NA,NA
Teacher Assistant, participant, NA, NA,NA,NA,NA,NA,NA
Public Relations Specialist, participant, NA, NA,NA,NA,NA,NA,NA
Carpenter, participant, NA, NA,NA,NA,NA,NA,NA
School Psychologist, participant, NA, NA,NA,NA,NA,NA,NA
Cartographer, participant, NA, NA,NA,NA,NA,NA,NA
Bus Driver, participant, NA, NA,NA,NA,NA,NA,NA
Clinical Laboratory Technician, participant, NA, NA,NA,NA,NA,NA,NA
Security Guard, participant, NA, NA,NA,NA,NA,NA,NA
Architect, participant, NA, NA,NA,NA,NA,NA,NA
Mental Health Counselor, participant, NA, NA,NA,NA,NA,NA,NA
No Persona, participant, NA, NA,NA,NA,NA,NA,NA
