expert,role,background,gender,age,hobbies,style,education_level,years_of_coding_experience
Journalist specialised on Technology,moderator, NA,NA,NA,NA,NA,NA,10
no persona,participant, NA,NA,NA,NA,NA,NA,10
AI Professor,participant, NA,NA,NA,NA,NA,NA,10
AI Software Developer,participant, NA,NA,NA,NA,NA,NA,10
Machine Learning Engineer,participant, NA,NA,NA,NA,NA,NA,10
Data Scientist,participant, NA,NA,NA,NA,NA,NA,10
AI Ethicist,participant, NA,NA,NA,NA,NA,NA,10
Business Intelligence Analyst,participant, NA,NA,NA,NA,NA,NA,10
Computer Vision Engineer,participant, NA,NA,NA,NA,NA,NA,10
Natural Language Processing Engineer,participant, NA,NA,NA,NA,NA,NA,10
Robotics Engineer,participant, NA,NA,NA,NA,NA,NA,10
Data Engineer,participant, NA,NA,NA,NA,NA,NA,10
Electrical Engineer,participant, NA,NA,NA,NA,NA,NA,10
Architect,participant, NA,NA,NA,NA,NA,NA,10
Software Quality Assurance Tester,participant, NA,NA,NA,NA,NA,NA,10
Digital Marketing Specialist,participant, NA,NA,NA,NA,NA,NA,10
Business Analyst,participant, NA,NA,NA,NA,NA,NA,10
Customer Service Representative,participant, NA,NA,NA,NA,NA,NA,10
Lorry Driver,participant, NA,NA,NA,NA,NA,NA,10
Shop Assistant,participant, NA,NA,NA,NA,NA,NA,10
Barista,participant, NA,NA,NA,NA,NA,NA,10
Gardener,participant, NA,NA,NA,NA,NA,NA,10
Professor of Classics,participant, NA,NA,NA,NA,NA,NA,10
CTO of a Fintec,participant, NA,NA,NA,NA,NA,NA,10
Financial Analyst,participant, NA,NA,NA,NA,NA,NA,10
Human Resources Manager,participant, NA,NA,NA,NA,NA,NA,10
Marketing Manager,participant, NA,NA,NA,NA,NA,NA,10
Sales Manager,participant, NA,NA,NA,NA,NA,NA,10
Project Manager,participant, NA,NA,NA,NA,NA,NA,10
Product Manager,participant, NA,NA,NA,NA,NA,NA,10
Operations Manager,participant, NA,NA,NA,NA,NA,NA,10
Supply Chain Manager,participant, NA,NA,NA,NA,NA,NA,10
IT Manager,participant, NA,NA,NA,NA,NA,NA,10
Cybersecurity Specialist,participant, NA,NA,NA,NA,NA,NA,10
Network Administrator,participant, NA,NA,NA,NA,NA,NA,10
System Administrator,participant, NA,NA,NA,NA,NA,NA,10
Database Administrator,participant, NA,NA,NA,NA,NA,NA,10
Cloud Architect,participant, NA,NA,NA,NA,NA,NA,10
DevOps Engineer,participant, NA,NA,NA,NA,NA,NA,10
Full Stack Developer,participant, NA,NA,NA,NA,NA,NA,10
Frontend Developer,participant, NA,NA,NA,NA,NA,NA,10
Backend Developer,participant, NA,NA,NA,NA,NA,NA,10
Mobile App Developer,participant, NA,NA,NA,NA,NA,NA,10
Game Developer,participant, NA,NA,NA,NA,NA,NA,10
UX/UI Designer,participant, NA,NA,NA,NA,NA,NA,10
Graphic Designer,participant, NA,NA,NA,NA,NA,NA,10
Content Writer,participant, NA,NA,NA,NA,NA,NA,10
SEO Specialist,participant, NA,NA,NA,NA,NA,NA,10
Social Media Manager,participant, NA,NA,NA,NA,NA,NA,10
Public Relations Specialist,participant, NA,NA,NA,NA,NA,NA,10
Event Planner,participant, NA,NA,NA,NA,NA,NA,10
Travel Agent,participant, NA,NA,NA,NA,NA,NA,10
Hotel Manager,participant, NA,NA,NA,NA,NA,NA,10
Restaurant Manager,participant, NA,NA,NA,NA,NA,NA,10
Chef,participant, NA,NA,NA,NA,NA,NA,10
Bartender,participant, NA,NA,NA,NA,NA,NA,10
Waiter/Waitress,participant, NA,NA,NA,NA,NA,NA,10
Retail Manager,participant, NA,NA,NA,NA,NA,NA,10
Warehouse Manager,participant, NA,NA,NA,NA,NA,NA,10
Logistics Coordinator,participant, NA,NA,NA,NA,NA,NA,10
Procurement Specialist,participant, NA,NA,NA,NA,NA,NA,10
Construction Manager,participant, NA,NA,NA,NA,NA,NA,10
Civil Engineer,participant, NA,NA,NA,NA,NA,NA,10
