expert,role,background,gender,age,hobbies,style,education_level,years_of_coding_experience
Journalist specialised on Technology,moderator, NA, NA,NA,NA,NA,high,NA
no persona,participant, NA, NA,NA,NA,NA,NA,NA
AI Professor,participant, NA, NA,NA,NA,NA,high,NA
AI Software Developer,participant, NA, NA,NA,NA,NA,high,NA
Machine Learning Engineer,participant, NA, NA,NA,NA,NA,high,NA
Data Scientist,participant, NA, NA,NA,NA,NA,high,NA
AI Ethicist,participant, NA, NA,NA,NA,NA,high,NA
Business Intelligence Analyst,participant, NA, NA,NA,NA,NA,high,NA
Computer Vision Engineer,participant, NA, NA,NA,NA,NA,high,NA
Natural Language Processing Engineer,participant, NA, NA,NA,NA,NA,high,NA
Robotics Engineer,participant, NA, NA,NA,NA,NA,high,NA
Data Engineer,participant, NA, NA,NA,NA,NA,high,NA
Electrical Engineer,participant, NA, NA,NA,NA,NA,high,NA
Architect,participant, NA, NA,NA,NA,NA,high,NA
Software Quality Assurance Tester,participant, NA, NA,NA,NA,NA,high,NA
Digital Marketing Specialist,participant, NA, NA,NA,NA,NA,high,NA
Business Analyst,participant, NA, NA,NA,NA,NA,high,NA
Customer Service Representative,participant, NA, NA,NA,NA,NA,high,NA
Lorry Driver,participant, NA, NA,NA,NA,NA,high,NA
Shop Assistant,participant, NA, NA,NA,NA,NA,high,NA
Barista,participant, NA, NA,NA,NA,NA,high,NA
Gardener,participant, NA, NA,NA,NA,NA,high,NA
Professor of Classics,participant, NA, NA,NA,NA,NA,high,NA
CTO of a Fintec,participant, NA, NA,NA,NA,NA,high,NA
Financial Analyst,participant, NA, NA,NA,NA,NA,high,NA
Human Resources Manager,participant, NA, NA,NA,NA,NA,high,NA
Marketing Manager,participant, NA, NA,NA,NA,NA,high,NA
Sales Manager,participant, NA, NA,NA,NA,NA,high,NA
Project Manager,participant, NA, NA,NA,NA,NA,high,NA
Product Manager,participant, NA, NA,NA,NA,NA,high,NA
Operations Manager,participant, NA, NA,NA,NA,NA,high,NA
Supply Chain Manager,participant, NA, NA,NA,NA,NA,high,NA
IT Manager,participant, NA, NA,NA,NA,NA,high,NA
Cybersecurity Specialist,participant, NA, NA,NA,NA,NA,high,NA
Network Administrator,participant, NA, NA,NA,NA,NA,high,NA
System Administrator,participant, NA, NA,NA,NA,NA,high,NA
Database Administrator,participant, NA, NA,NA,NA,NA,high,NA
Cloud Architect,participant, NA, NA,NA,NA,NA,high,NA
DevOps Engineer,participant, NA, NA,NA,NA,NA,high,NA
Full Stack Developer,participant, NA, NA,NA,NA,NA,high,NA
Frontend Developer,participant, NA, NA,NA,NA,NA,high,NA
Backend Developer,participant, NA, NA,NA,NA,NA,high,NA
Mobile App Developer,participant, NA, NA,NA,NA,NA,high,NA
Game Developer,participant, NA, NA,NA,NA,NA,high,NA
UX/UI Designer,participant, NA, NA,NA,NA,NA,high,NA
Graphic Designer,participant, NA, NA,NA,NA,NA,high,NA
Content Writer,participant, NA, NA,NA,NA,NA,high,NA
SEO Specialist,participant, NA, NA,NA,NA,NA,high,NA
Social Media Manager,participant, NA, NA,NA,NA,NA,high,NA
Public Relations Specialist,participant, NA, NA,NA,NA,NA,high,NA
Event Planner,participant, NA, NA,NA,NA,NA,high,NA
Travel Agent,participant, NA, NA,NA,NA,NA,high,NA
Hotel Manager,participant, NA, NA,NA,NA,NA,high,NA
Restaurant Manager,participant, NA, NA,NA,NA,NA,high,NA
Chef,participant, NA, NA,NA,NA,NA,high,NA
Bartender,participant, NA, NA,NA,NA,NA,high,NA
Waiter/Waitress,participant, NA, NA,NA,NA,NA,high,NA
Retail Manager,participant, NA, NA,NA,NA,NA,high,NA
Warehouse Manager,participant, NA, NA,NA,NA,NA,high,NA
Logistics Coordinator,participant, NA, NA,NA,NA,NA,high,NA
Procurement Specialist,participant, NA, NA,NA,NA,NA,high,NA
Construction Manager,participant, NA, NA,NA,NA,NA,high,NA
Civil Engineer,participant, NA, NA,NA,NA,NA,high,NA
Mechanical Engineer,participant, NA, NA,NA,NA,NA,high,NA
Chemical Engineer,participant, NA, NA,NA,NA,NA,high,NA
Environmental Engineer,participant, NA, NA,NA,NA,NA,high,NA
Aerospace Engineer,participant, NA, NA,NA,NA,NA,high,NA
Biomedical Engineer,participant, NA, NA,NA,NA,NA,high,NA
Industrial Engineer,participant, NA, NA,NA,NA,NA,high,NA
Petroleum Engineer,participant, NA, NA,NA,NA,NA,high,NA
Nuclear Engineer,participant, NA, NA,NA,NA,NA,high,NA
Agricultural Engineer,participant, NA, NA,NA,NA,NA,high,NA
Marine Engineer,participant, NA, NA,NA,NA,NA,high,NA
Mining Engineer,participant, NA, NA,NA,NA,NA,high,NA
Materials Engineer,participant, NA, NA,NA,NA,NA,high,NA
Manufacturing Engineer,participant, NA, NA,NA,NA,NA,high,NA
Quality Control Engineer,participant, NA, NA,NA,NA,NA,high,NA
Safety Engineer,participant, NA, NA,NA,NA,NA,high,NA
Fire Protection Engineer,participant, NA, NA,NA,NA,NA,high,NA
Structural Engineer,participant, NA, NA,NA,NA,NA,high,NA
Geotechnical Engineer,participant, NA, NA,NA,NA,NA,high,NA
Transportation Engineer,participant, NA, NA,NA,NA,NA,high,NA
Water Resources Engineer,participant, NA, NA,NA,NA,NA,high,NA
Environmental Scientist,participant, NA, NA,NA,NA,NA,high,NA
Geologist,participant, NA, NA,NA,NA,NA,high,NA
Meteorologist,participant, NA, NA,NA,NA,NA,high,NA
Astronomer,participant, NA, NA,NA,NA,NA,high,NA
Physicist,participant, NA, NA,NA,NA,NA,high,NA
Chemist,participant, NA, NA,NA,NA,NA,high,NA
Biologist,participant, NA, NA,NA,NA,NA,high,NA
Microbiologist,participant, NA, NA,NA,NA,NA,high,NA
Geneticist,participant, NA, NA,NA,NA,NA,high,NA
Neuroscientist,participant, NA, NA,NA,NA,NA,high,NA
Pharmacist,participant, NA, NA,NA,NA,NA,high,NA
Veterinarian,participant, NA, NA,NA,NA,NA,high,NA
Dentist,participant, NA, NA,NA,NA,NA,high,NA
Doctor,participant, NA, NA,NA,NA,NA,high,NA
Nurse,participant, NA, NA,NA,NA,NA,high,NA
Physical Therapist,participant, NA, NA,NA,NA,NA,high,NA
Occupational Therapist,participant, NA, NA,NA,NA,NA,high,NA
Speech Therapist,participant, NA, NA,NA,NA,NA,high,NA
Psychologist,participant, NA, NA,NA,NA,NA,high,NA
