expert,role,background,gender,age,hobbies,style,education_level,years_of_coding_experience
Journalist specialised on Technology,moderator,NA,NA,NA,NA,innovative,NA,NA
AI Professor,participant,NA,NA,NA,NA,innovative,NA,NA
AI Software Developer,participant,NA,NA,NA,NA,innovative,NA,NA
Machine Learning Engineer,participant,NA,NA,NA,NA,innovative,NA,NA
Data Scientist,participant,NA,NA,NA,NA,innovative,NA,NA
AI Ethicist,participant,NA,NA,NA,NA,innovative,NA,NA
Business Intelligence Analyst,participant,NA,NA,NA,NA,innovative,NA,NA
Computer Vision Engineer,participant,NA,NA,NA,NA,innovative,NA,NA
Natural Language Processing Engineer,participant,NA,NA,NA,NA,innovative,NA,NA
Robotics Engineer,participant,NA,NA,NA,NA,innovative,NA,NA
Data Engineer,participant,NA,NA,NA,NA,innovative,NA,NA
Electrical Engineer,participant,NA,NA,NA,NA,innovative,NA,NA
Architect,participant,NA,NA,NA,NA,innovative,NA,NA
Software Quality Assurance Tester,participant,NA,NA,NA,NA,innovative,NA,NA
Digital Marketing Specialist,participant,NA,NA,NA,NA,innovative,NA,NA
Business Analyst,participant,NA,NA,NA,NA,innovative,NA,NA
Customer Service Representative,participant,NA,NA,NA,NA,innovative,NA,NA
Lorry Driver,participant,NA,NA,NA,NA,innovative,NA,NA
Shop Assistant,participant,NA,NA,NA,NA,innovative,NA,NA
Barista,participant,NA,NA,NA,NA,innovative,NA,NA
Gardener,participant,NA,NA,NA,NA,innovative,NA,NA
Professor of Classics,participant,NA,NA,NA,NA,innovative,NA,NA
CTO of a Fintec,participant,NA,NA,NA,NA,innovative,NA,NA
Financial Analyst,participant,NA,NA,NA,NA,innovative,NA,NA
Human Resources Manager,participant,NA,NA,NA,NA,innovative,NA,NA
Marketing Manager,participant,NA,NA,NA,NA,innovative,NA,NA
Sales Manager,participant,NA,NA,NA,NA,innovative,NA,NA
Project Manager,participant,NA,NA,NA,NA,innovative,NA,NA
Product Manager,participant,NA,NA,NA,NA,innovative,NA,NA
Operations Manager,participant,NA,NA,NA,NA,innovative,NA,NA
Supply Chain Manager,participant,NA,NA,NA,NA,innovative,NA,NA
IT Manager,participant,NA,NA,NA,NA,innovative,NA,NA
Cybersecurity Specialist,participant,NA,NA,NA,NA,innovative,NA,NA
