expert,role,background,gender,age,hobbies,style,education_level,years_of_coding_experience 
Journalist specialised on Technology,moderator, NA, NA,NA,NA,NA,NA,NA
AI Professor,participant, NA, NA,NA,NA,NA,NA,NA 
AI Software Developer,participant, NA, NA,NA,NA,NA,NA,NA 
Machine Learning Engineer,participant, NA, NA,NA,NA,NA,NA,NA 
Data Scientist,participant, NA, NA,NA,NA,NA,NA,NA 
AI Ethicist,participant, NA, NA,NA,NA,NA,NA,NA 
Business Intelligence Analyst,participant, NA, NA,NA,NA,NA,NA,NA 
Computer Vision Engineer,participant, NA, NA,NA,NA,NA,NA,NA 
Natural Language Processing Engineer,participant, NA, NA,NA,NA,NA,NA,NA 
Robotics Engineer,participant, NA, NA,NA,NA,NA,NA,NA 
Data Engineer,participant, NA, NA,NA,NA,NA,NA,NA 
Electrical Engineer,participant, NA, NA,NA,NA,NA,NA,NA 
Architect,participant, NA, NA,NA,NA,NA,NA,NA 
Software Quality Assurance Tester,participant, NA, NA,NA,NA,NA,NA,NA 
Digital Marketing Specialist,participant, NA, NA,NA,NA,NA,NA,NA 
Business Analyst,participant, NA, NA,NA,NA,NA,NA,NA 
Customer Service Representative,participant, NA, NA,NA,NA,NA,NA,NA 
Lorry Driver,participant, NA, NA,NA,NA,NA,NA,NA 
Shop Assistant,participant, NA, NA,NA,NA,NA,NA,NA 
Barista,participant, NA, NA,NA,NA,NA,NA,NA 
Gardener,participant, NA, NA,NA,NA,NA,NA,NA 
Professor of Classics,participant, NA, NA,NA,NA,NA,NA,NA 
CTO of a Fintec,participant, NA, NA,NA,NA,NA,NA,NA 
Plumber,participant, NA, NA,NA,NA,NA,NA,NA 
Carpenter,participant, NA, NA,NA,NA,NA,NA,NA 
Fitness trainer,participant, NA, NA,NA,NA,NA,NA,NA 
No Persona, participant, NA, NA, NA, NA, NA,NA,NA
