job,role,background,gender,age,hobbies,style,education_level,years_of_coding_experience
Journalist specialised on Technology,moderator, NA, NA,NA,NA,NA,NA,NA
No Persona, participant, NA, NA,NA,NA,NA,NA,NA
Nurse Practitioner,participant,Biology,Female,32,yoga,empathetic,Master's,2
Nurse Practitioner,participant,Psychology,Male,45,gardening,analytical,Doctorate,0
Nurse Practitioner,participant,Nursing,Non-binary,29,painting,collaborative,Bachelor's,1
Nurse Practitioner,participant,Chemistry,Female,38,hiking,detail-oriented,Master's,3
Nurse Practitioner,participant,Public Health,Male,51,cooking,patient-centered,Doctorate,1
Financial Manager,participant,Accounting,Male,40,golfing,strategic,Master's,5
Financial Manager,participant,Economics,Female,35,tennis,analytical,Bachelor's,3
Financial Manager,participant,Business Administration,Non-binary,48,traveling,risk-averse,MBA,7
Financial Manager,participant,Mathematics,Female,29,reading,detail-oriented,Master's,2
Financial Manager,participant,Finance,Male,55,photography,assertive,Doctorate,4
Software Developer,participant,Computer Science,Male,28,gaming,innovative,Bachelor's,6
Software Developer,participant,Information Technology,Female,34,rock climbing,analytical,Master's,8
Software Developer,participant,Electrical Engineering,Non-binary,41,music production,collaborative,PhD,12
Software Developer,participant,Mathematics,Female,26,cycling,problem-solving,Bachelor's,4
Software Developer,participant,Physics,Male,38,woodworking,detail-oriented,Master's,10
IT Manager,participant,Information Systems,Female,42,photography,strategic,Master's,15
IT Manager,participant,Computer Engineering,Male,37,marathon running,decisive,Bachelor's,12
IT Manager,participant,Business Technology,Non-binary,49,volunteering,collaborative,MBA,18
IT Manager,participant,Cybersecurity,Female,33,painting,analytical,Master's,9
IT Manager,participant,Data Science,Male,45,golfing,innovative,PhD,14
Physician Assistant,participant,Biology,Female,31,yoga,empathetic,Master's,1
Physician Assistant,participant,Chemistry,Male,39,hiking,detail-oriented,Bachelor's,0
Physician Assistant,participant,Health Sciences,Non-binary,28,painting,patient-centered,Master's,2
Physician Assistant,participant,Psychology,Female,44,gardening,analytical,Doctorate,1
Physician Assistant,participant,Nutrition,Male,35,rock climbing,collaborative,Master's,3
Medical and Health Services Manager,participant,Healthcare Administration,Female,38,cycling,strategic,Master's,4
Medical and Health Services Manager,participant,Public Health,Male,45,golfing,analytical,MBA,2
Medical and Health Services Manager,participant,Nursing,Non-binary,33,volunteering,collaborative,Bachelor's,1
Medical and Health Services Manager,participant,Business Management,Female,50,yoga,decisive,Doctorate,3
Medical and Health Services Manager,participant,Health Informatics,Male,41,photography,innovative,Master's,6
Information Security Analyst,participant,Cybersecurity,Male,32,gaming,analytical,Bachelor's,8
Information Security Analyst,participant,Computer Science,Female,39,martial arts,detail-oriented,Master's,10
Information Security Analyst,participant,Network Engineering,Non-binary,28,puzzle solving,innovative,Bachelor's,6
Information Security Analyst,participant,Information Assurance,Male,45,reading,strategic,Master's,12
Information Security Analyst,participant,Digital Forensics,Female,35,rock climbing,problem-solving,PhD,9
Data Analyst,participant,Statistics,Female,29,data visualization,analytical,Master's,5
Data Analyst,participant,Mathematics,Male,36,chess,detail-oriented,Bachelor's,7
Data Analyst,participant,Economics,Non-binary,41,hiking,strategic,PhD,9
Data Analyst,participant,Computer Science,Female,33,painting,innovative,Master's,6
Data Analyst,participant,Business Analytics,Male,27,cycling,collaborative,Bachelor's,4
Actuary,participant,Actuarial Science,Male,34,chess,analytical,Bachelor's,3
Actuary,participant,Mathematics,Female,40,yoga,detail-oriented,Master's,5
Actuary,participant,Statistics,Non-binary,29,gaming,strategic,Bachelor's,2
Actuary,participant,Economics,Male,47,gardening,risk-averse,PhD,7
Actuary,participant,Data Science,Female,36,running,problem-solving,Master's,4
Speech-Language Pathologist,participant,Communication Sciences,Female,33,singing,empathetic,Master's,1
Speech-Language Pathologist,participant,Linguistics,Male,39,theater,patient-centered,Doctorate,0
Speech-Language Pathologist,participant,Psychology,Non-binary,28,yoga,analytical,Master's,2
Speech-Language Pathologist,participant,Education,Female,45,gardening,collaborative,Bachelor's,1
Speech-Language Pathologist,participant,Neuroscience,Male,31,hiking,detail-oriented,Master's,3
Marketing Manager,participant,Marketing,Female,35,social media,creative,Bachelor's,4
Marketing Manager,participant,Business Administration,Male,42,photography,strategic,MBA,6
