Persona,Iteration,Tech_Score,Ethics_Score,Edu_Score
Customer Service Representative,1,0.0415,0.0000,0.0169
Customer Service Representative,2,0.0591,0.0000,0.0185
Customer Service Representative,3,0.0631,0.0036,0.0072
Customer Service Representative,4,0.0225,0.0000,0.0145
Customer Service Representative,5,0.0408,0.0000,0.0000
Electrical Engineer,1,0.0703,0.0018,0.0054
Electrical Engineer,2,0.0936,0.0017,0.0217
Electrical Engineer,3,0.0685,0.0032,0.0127
Electrical Engineer,4,0.0835,0.0017,0.0122
Electrical Engineer,5,0.0556,0.0000,0.0139
Plain LLM,1,0.1093,0.0000,0.0071
Plain LLM,2,0.0459,0.0018,0.0088
Plain LLM,3,0.0758,0.0106,0.0035
Plain LLM,4,0.0766,0.0000,0.0071
Plain LLM,5,0.0746,0.0000,0.0000
Business Intelligence Analyst,1,0.0743,0.0019,0.0037
Business Intelligence Analyst,2,0.0757,0.0000,0.0079
Business Intelligence Analyst,3,0.0823,0.0000,0.0115
Business Intelligence Analyst,4,0.0781,0.0000,0.0136
Business Intelligence Analyst,5,0.1111,0.0000,0.0111
Digital Marketing Specialist,1,0.0640,0.0000,0.0329
Digital Marketing Specialist,2,0.0663,0.0000,0.0221
Digital Marketing Specialist,3,0.0856,0.0000,0.0171
Digital Marketing Specialist,4,0.0816,0.0000,0.0057
Digital Marketing Specialist,5,0.0778,0.0000,0.0111
Focus Group 1.txt,1,0.0997,0.0303,0.0102
Focus Group 1.txt,2,0.0818,0.0074,0.0113
Focus Group 1.txt,3,0.0857,0.0074,0.0115
Focus Group 1.txt,4,0.0819,0.0107,0.0177
Focus Group 1.txt,5,0.0909,0.0130,0.0130
Lorry Driver,1,0.0594,0.0000,0.0054
Lorry Driver,2,0.0662,0.0000,0.0038
Lorry Driver,3,0.0750,0.0000,0.0038
Lorry Driver,4,0.0626,0.0020,0.0059
Lorry Driver,5,0.0877,0.0000,0.0000
